等級,名稱,分類,類型,材料,能力,說明,販店價,image
1,軟皮靴,靴子,足部防具,鹿皮(20)、麻布(4),防禦+5~+10 抗魔+3~+5,以柔軟素材做的靴。,220,/img/防具/軟皮靴.gif
1,運動鞋,鞋子,足部防具,鹿皮(20)、麻布(4),防禦+2~+3 敏捷+3~+4,好動的鞋子。,220,/img/防具/運動鞋.gif
1,馬車鞋,鞋子,足部防具,銅條(3)、鹿皮(20)、麻布(3),防禦+3~+5 敏捷+5~+6,可出遠門的結實鞋子。,250,/img/防具/馬車鞋.gif
1,小圓盾,盾牌,手部防具,銅條(4)、麻布(1),防禦+6~+11 閃躲-5 抗魔+10~+12,直接受到敵人攻擊的輕量又小的盾牌。,220,/img/防具/小圓盾.gif
1,小型盾,盾牌,手部防具,銅條(6)、樅(20),防禦+9~+17 閃躲-5 抗魔+8~+10,攜帶方便的小型盾牌。,250,/img/防具/小型盾.gif
2,銅鐵皮盔,頭盔,頭部防具,銅條(5)、鐵條(3)、麻布(2)、木棉布(2),防禦+15~+28 抗魔+6~+10,用鐵與銅加強的皮製頭盔。,320,/img/防具/銅鐵皮盔.gif
2,鐵板布盔,頭盔,頭部防具,銅條(4)、鐵條(2)、麻布(3),防禦+12~+22 抗魔+10~+14,鐵板做，用布包起來的帽子型頭盔。,260,/img/防具/鐵板布盔.gif
2,皮帽,帽子,頭部防具,樅(20)、檸檬草(20)、鹿皮(20)、麻布(6)、木棉布(3),防禦+10~+18 命中+5,皮做的成熟帽子。,330,/img/防具/皮帽.gif
2,輕帽,帽子,頭部防具,印度輕木(20)、檸檬草(20)、麻布(5)、木棉布(2),防禦+8~+14 命中+5,輕量帽子。,260,/img/防具/輕帽.gif
2,輕型鎧甲,鎧甲,身體防具,銅條(4)、鐵條(5)、銀條(3)、鹿皮(20),防禦+29~+53 閃躲-10 抗魔+8~+12,輕而且通氣性高的盔甲。,450,/img/防具/輕型鎧甲.gif
2,青銅鎧甲,鎧甲,身體防具,銅條(7)、鐵條(2)、印度輕木(20)、樅(20),防禦+23~+42 閃躲-10 抗魔+12~+16,銅製的盔甲肩膀上有突起部。,400,/img/防具/青銅鎧甲.gif
2,皮裝,衣服,身體防具,銅條(2)、鹿皮(20)、麻布(5)、木棉布(5)、毛氈(4),防禦+19~+35 閃躲+5,皮做的服裝。,500,/img/防具/皮裝.gif
2,羽毛裝,衣服,身體防具,鹿皮(20)、麻布(11)、木棉布(2),防禦+15~+28 閃躲+5,輕量羽毛做的套裝。,400,/img/防具/羽毛裝.gif
2,網袍,長袍,身體防具,鹿皮(20)、麻布(2)、木棉布(10)、樅(10),防禦+9~+16 魔力+80~+100,以棉網狀編織的袍。,470,/img/防具/網袍.gif
2,風袍,長袍,身體防具,鹿皮(20)、麻布(4)、木棉布(10)、毛氈(2)、樅(10),防禦+11~+20 魔力+100~+125,以輕量羽毛做的袍，很輕。,550,/img/防具/風袍.gif
2,硬皮靴,靴子,足部防具,銅條(5)、鹿皮(20)、木棉布(4),防禦+10~+19 抗魔+6~+10,用硬又結實的皮做的靴。,300,/img/防具/硬皮靴.gif
2,長靴,靴子,足部防具,銅條(3)、鹿皮(20)、麻布(3)、木棉布(3)、毛氈(3),防禦+13~+24 抗魔+2~+6,比普通做的較長的靴。,370,/img/防具/長靴.gif
2,安全鞋,鞋子,足部防具,鐵條(4)、鹿皮(20)、麻布(4)、木棉布(3),防禦+4~+8 敏捷+8~+10,礦工用的結實長筒鞋。,350,/img/防具/安全鞋.gif
2,皮鞋,鞋子,足部防具,鹿皮(20)、麻布(4)、木棉布(4),防禦+3~+6 敏捷+6~+8,皮鞋。,300,/img/防具/皮鞋.gif
2,板盾,盾牌,手部防具,銅條(8)、印度輕木(20)、樅(20),防禦+12~+22 閃躲-5 抗魔+20~+24,三張薄的木板合在一起的大型盾牌。,300,/img/防具/板盾.gif
2,鳶盾,盾牌,手部防具,銅條(7)、鐵條(3)、印度輕木(20)、黃月木(20),防禦+15~+28 閃躲-5 抗魔+16~+20,風箏形狀的長方形盾牌。,350,/img/防具/鳶盾.gif
3,金屬護額,頭盔,頭部防具,銅條(4)、鐵條(5)、銀條(3)、木棉布(2),防禦+20~+33 抗魔+15~+21,放鐵板在額頭上的頭巾。,400,/img/防具/金屬護額.gif
3,鐵製頭盔,頭盔,頭部防具,銅條(3)、鐵條(10)、銀條(3)、毛氈(1),防禦+23~+39 抗魔+9~+15,鐵製頭盔。,480,/img/防具/鐵製頭盔.gif
3,可愛的帽子,帽子,頭部防具,果梨(20)、麻布(6)、木棉布(6)、毛氈(5),防禦+15~+25 命中+5,適合可愛女生的帽子。,500,/img/防具/輕帽.gif
3,硬皮帽,帽子,頭部防具,銅條(4)、鹿皮(20)、木棉布(5)、毛氈(4),防禦+13~+21 命中+5,結實的皮做的帽子。,400,/img/防具/硬皮帽.gif
3,環甲,鎧甲,身體防具,銅條(5)、鐵條(4)、銀條(5)、純銀條(4)、樅(20),防禦+44~+74 閃躲-10 抗魔+12~+18,連結金屬圈圈的盔甲。,700,/img/防具/環甲.gif
3,輕型鎖鍊甲,鎧甲,身體防具,銅條(6)、鐵條(10)、黃月木(20),防禦+38~+63 閃躲-10 抗魔+18~+24,鏈子般的輕量鐵做的防具。,550,/img/防具/輕型鎖鍊甲.gif
3,硬皮服,衣服,身體防具,銀條(3)、鹿皮(20)、麻布(5)、木棉布(5)、毛氈(6),防禦+21~+42 閃躲+5,還算結實的皮做的衣服。,600,/img/防具/硬皮服.gif
3,鎖鏈裝,衣服,身體防具,鐵條(15)、銀條(5)、鹿皮(20)、棉(2),防禦+29~+49 閃躲+5,把細的金屬圈接起來做的套裝。,700,/img/防具/鎖鏈裝.gif
3,環袍,長袍,身體防具,鐵條(8)、麻布(5)、毛氈(7)、棉(3)、黃月木(10),防禦+17~+28 魔力+140~+175,以圈型鐵包起來的袍。,700,/img/防具/環袍.gif
3,硬皮袍,長袍,身體防具,鹿皮(20)、麻布(7)、木棉布(8)、毛氈(5)、黃月木(10),防禦+14~+24 魔力+120~+150,有點悶熱但以結實皮做的袍。,650,/img/防具/輕皮袍.gif
3,厚底靴,靴子,足部防具,印度輕木(20)、鹿皮(20)、麻布(8)、木棉布(4)、毛氈(3),防禦+17~+29 抗魔+9~+15,靴底厚又保暖。,440,/img/防具/厚底靴.gif
3,編織的靴子,靴子,足部防具,樅(20)、鹿皮(20)、麻布(5)、毛氈(9)、棉(2),防禦+20~+34 抗魔+3~+9,以結實的繩子綁幾層的靴。,520,/img/防具/皮靴.gif
3,光之鞋,鞋子,足部防具,鹿皮(20)、麻布(5)、木棉布(4)、毛氈(4),防禦+5~+9 敏捷+10~+12,以輕量素材做的鞋子。,400,/img/防具/光之鞋.gif
3,戰鞋,鞋子,足部防具,銅條(4)、鐵條(5)、鹿皮(20)、麻布(2)、毛氈(5),防禦+7~+11 敏捷+11~+14,戰鬥用的又硬又輕的鞋子。,470,/img/防具/戰鞋.gif
3,哥特盾,盾牌,手部防具,銅條(3)、鐵條(4)、銀條(4)、純銀條(3)、黃月木(20),防禦+23~+39 閃躲-5 抗魔+24~+30,有美麗裝飾的美美盾牌。,450,/img/防具/哥特盾.gif
3,漩渦重盾,盾牌,手部防具,鐵條(7)、銀條(3)、印度輕木(20)、樅(20)、黃月木(20),防禦+20~+33 閃躲-5 抗魔+30~+36,有螺旋狀花樣的圓形大盾牌。,400,/img/防具/漩渦重盾.gif
4,角飾頭盔,頭盔,頭部防具,銅條(5)、鐵條(5)、銀條(5)、純銀條(5)、棉(2),防禦+33~+50 抗魔+12~+20,有裝飾角的頭盔。,660,/img/防具/角飾頭盔.gif
4,霸葛頭盔,頭盔,頭部防具,銅條(4)、鐵條(4)、銀條(5)、純銀條(5),防禦+29~+44 抗魔+20~+28,有帽緣與額頭鐵板的頭盔。,550,/img/防具/霸葛頭盔.gif
4,時髦帽子,帽子,頭部防具,檸檬草(20)、蝴蝶花(20)、麻布(6)、毛氈(6)、棉(6),防禦+18~+28 命中+5,時髦漂亮的帽子。,600,/img/防具/時髦帽子.gif
4,鴨舌帽,帽子,頭部防具,果梨(20)、鹿皮(20)、木棉布(11)、毛氈(11),防禦+21~+32 命中+5,結實的帽子。,700,/img/防具/鴨舌帽.gif
4,金屬皮甲,鎧甲,身體防具,鐵條(6)、銀條(9)、純銀條(8)、黃月木(20)、琵琶木(20),防禦+62~+95 閃躲-10 抗魔+16~+24 耐久320~+430,把金屬小片縫在皮上的盔甲。,1000,/img/防具/金屬皮甲.gif
4,鋼鐵鎧甲,鎧甲,身體防具,鐵條(13)、銀條(4)、純銀條(2)、黃月木(20),防禦+55~+84 閃躲-10 抗魔+24~+32,鍛煉過的鋼鐵製盔甲。,900,/img/防具/鋼鐵鎧甲.gif
4,布甲,衣服,身體防具,銀條(5)、鹿皮(20)、毛氈(7)、棉(10),防禦+36~+56 閃躲+5,結實布料做的像盔甲一樣的衣服。,800,/img/防具/皮裝.gif
4,襯甲,衣服,身體防具,金條(4)、鹿皮(20)、毛氈(10)、棉(10),防禦+41~+64 閃躲+5,用布料變厚的像盔甲一樣的衣服。,900,/img/防具/襯甲.gif
4,月亮之袍,長袍,身體防具,鹿皮(20)、麻布(6)、毛氈(10)、細線(11)、鐵杉(10),防禦+23~+36 魔力+180~+225,寫滿了魔法文字的袍。,890,/img/防具/月亮之袍.gif
4,烏鴉之袍,長袍,身體防具,鹿皮(20)、麻布(10)、毛氈(10)、棉(6)、鐵杉(10),防禦+21~+32 魔力+160~+200,能聽懂魔女的話，織進烏鴉羽毛的袍。,800,/img/防具/網袍.gif
4,狐皮披風,長袍,身體防具,狐皮(4)、樅(2)、棉(20)、莎蓮娜線(4),防禦+17~+22 敏捷+7~12 抗昏睡+1~+2、抗混亂+1~+2 抗酒醉+1~+2、抗石化+1~+2 抗毒+1~+2、抗遺忘+1~+2 魔力+47~+59,據說是忍者飛翔時穿在身上的斗篷。,,/img/防具/狐皮披風.gif
4,鎖鍊長靴,靴子,足部防具,鐵條(6)、銀條(6)、麻布(6)、棉(3),防禦+25~+38 抗魔+12~+20,綁金屬網，加強的長統靴。,600,/img/防具/鎖鍊長靴.gif
4,鎖鍊靴,靴子,足部防具,鐵條(8)、銀條(3)、純銀條(3)、毛氈(3)、細線(3),防禦+28~+43 抗魔+4~+12,綁鐵網，加強的長統靴。,650,/img/防具/鎖鍊靴.gif
4,薄板鞋,鞋子,足部防具,銅條(10)、鐵條(3)、銀條(3)、鹿皮(20)、棉(3),防禦+8~+12 敏捷+13~+16,金屬片疊起來加強的鞋子。,550,/img/防具/薄板鞋.gif
4,鎖鏈鞋,鞋子,足部防具,銅條(10)、鐵條(6)、銀條(2)、純銀條(2)、毛氈(2),防禦+9~+14 敏捷+14~+18,以金屬網包起來加強的鞋子。,600,/img/防具/鎖鏈鞋.gif
4,士兵盾,盾牌,手部防具,銅條(4)、鐵條(4)、銀條(4)、純銀條(4)、鐵杉(20),防禦+29~+44 閃躲-5 抗魔+40~+48,裝甲兵用的很素但性能高的盾牌。,520,/img/防具/士兵盾.gif
4,重盾,盾牌,手部防具,銅條(2)、鐵條(2)、銀條(3)、純銀條(5)、金條(5),防禦+33~+50 閃躲-5 抗魔+32~+40,全金屬做的圓形大盾牌。,600,/img/防具/重盾.gif
5,聖騎士之盔,頭盔,頭部防具,鋁條(3)、純銀條(4)、金條(4)、茱萸木(20),防禦+42~+52 命中+6 閃躲-5 抗魔+35~+39,以高潔的騎士為名的頭盔，外型密閉，容易集中精神。,550,/img/防具/聖騎士之盔.gif
5,葛理克頭盔,頭盔,頭部防具,純銀條(5)、金條(5)、棉(5)、細線(5),防禦+43~+61 抗魔+15~+25,保護臉部的頭盔。,1200,/img/防具/葛理克頭盔.gif
5,開放式頭盔,頭盔,頭部防具,純銀條(5)、金條(8)、棉(5),防禦+39~+55 抗魔+25~+35,露出臉部的頭盔。,1000,/img/防具/開放式頭盔.gif
5,劍客帽,帽子,頭部防具,茱萸木(20)、桃木(20)、毛氈(10)、絹布(4)、地的水晶碎片(2),防禦+10~+14 生命+66~+75 命中+5 精神-10 閃躲+3 使用明鏡止水技能同時增加一定閃躲率,羽毛乍看似乎很多餘，其實是提升裝備者回避能力的秘密武器。,600,/img/防具/劍客帽.gif
5,藍徽章之帽,帽子,頭部防具,果梨(20)、棉(7)、細線(10),防禦+25~+35 命中+5,有藍色貼布的帽子。,900,/img/防具/藍徽章之帽.gif
5,高級帽子,帽子,頭部防具,桃木(20)、棉(8)、絹布(10),防禦+27~+39 命中+5,用高級布做的高雅帽子。,900,/img/防具/高級帽子.gif
5,劍齒鎧甲,鎧甲,身體防具,鐵條(3)、鋁條(6)、金條(5)、白金條(4)、茱萸木(20),防禦+100~+110 抗魔+18~+28 必殺-5 反擊+8 閃躲-10 使用護衛技能時同時發動反擊,專為保護重要人物的騎士們所開發的鎧甲。,900,/img/防具/劍齒鎧甲.gif
5,索狀鎧甲,鎧甲,身體防具,鐵條(5)、銀條(5)、純銀條(8)、金條(10)、琵琶木(20),防禦+81~+116 閃躲-10 抗魔+20~+30,鋼製鍵子編織的盔甲。,1300,/img/防具/環甲.gif
5,長型金屬鎧甲,鎧甲,身體防具,鐵條(5)、銀條(10)、純銀條(7)、金條(5)、鐵杉(20),防禦+74~+105 閃躲-10 抗魔+30~+40,很多長方形金屬片疊起來做的盔甲。,1200,/img/防具/長型金屬鎧甲.gif
5,功夫裝,衣服,身體防具,鋁條(4)、純銀條(3)、金條(7)、茱萸木(20)、絹布(4),防禦+38~+48 抗魔+15~+18 使用偷竊技能同時造成對象損傷,以戰鬥為志向的盜賊們所愛用的服裝。,900,/img/防具/功夫裝.gif
5,士兵護衣,衣服,身體防具,銀條(5)、白金條(5)、鹿皮(20)、棉(10)、細線(5),防禦+54~+78 閃躲+5,士兵的防護服。,1300,/img/防具/士兵護衣.gif
5,環服,衣服,身體防具,鐵條(10)、金條(5)、鹿皮(20)、棉(6)、細線(5),防禦+49~+70 閃躲+5,利用鐵環編織而成的衣服。,1100,/img/防具/環服.gif
5,東方法衣,長袍,身體防具,鹿皮(20)、麻布(10)、棉(10)、絹布(11)、鐵杉(10),防禦+28~+40 魔力+200~+250,滿是水晶的水晶的袍。,1100,/img/防具/環袍.gif
5,治癒之袍,長袍,身體防具,鋁條(4)、純銀條(4)、茱萸木(40)、棉(3)、絹布(7),防禦+68~+75 魔力+151~+174 回復+8,以能治癒百病的泉水為名，擁有治療能力的袍。,800,/img/防具/治癒之袍.gif
5,聖堂之袍,長袍,身體防具,純銀條(5)、鹿皮(20)、麻布(5)、絹布(15)、琵琶木(10),防禦+31~+44 魔力+220~+275,法蘭大聖堂公認的袍。,1300,/img/防具/聖堂之袍.gif
5,蜥蝪長靴,靴子,足部防具,純銀條(5)、金條(4)、棉(5)、細線(5),防禦+37~+53 抗魔+5~+15,鯪形金屬片疊起來做的長筒靴。,1100,/img/防具/鎖鍊長靴.gif
5,蜥蝪靴,靴子,足部防具,鐵條(10)、金條(5)、毛氈(3)、棉(3),防禦+34~+48 抗魔+15~+25,菱形金屬片疊起來做的靴。,1000,/img/防具/蜥蝪靴.gif
5,防護靴,靴子,足部防具,鐵條(4)、鋁條(3)、金條(2)、細線(3)、絹布(3),防禦+16~+20 必殺+6 閃躲-5 抗魔+1~+10,能夠在戰鬥中確保退路的厚重靴子。,??,/img/防具/防護靴.gif
5,特製舞鞋,鞋子,足部防具,鹿皮(20)、鋁條(3)、純銀條(2)、金條(2)、白金條(3),防禦+13~+15 敏捷+19~+21 精神+8 生命-30 跳舞成功率上升,跳舞用的鞋子。為了能適應各種地形，做的特別堅固耐穿。,550,/img/防具/特製舞鞋.gif
5,維京鞋,鞋子,足部防具,銅條(7)、銀條(5)、純銀條(5)、金條(5)、鹿皮(20),防禦+12~+17 敏捷+18~+22,海賊穿的鞋子。,1100,/img/防具/維京鞋.gif
5,蜥蝪鞋,鞋子,足部防具,銀條(5)、純銀條(6)、金條(3)、毛氈(6),防禦+11~+15 敏捷+16~+20,菱形金屬片疊起來做的鞋子。,1000,/img/防具/蜥蝪鞋.gif
5,反光之盾,盾牌,手部防具,鐵條(6)、銀條(6)、金條(4)、白金條(3),防禦+43~+61 閃躲-5 抗魔+40~+50,可藏在後面的大盾牌。,1100,/img/防具/反光之盾.gif
5,聖者之盾,盾牌,手部防具,鋁條(3)、純銀條(2)、金條(2)、白金條(2)、茱萸木(20),防禦+26~+29 命中-3 閃躲-5 抗魔+50~+55 魔力+100~+120,能夠提高裝備者精神力量的盾。,520,/img/防具/聖者之盾.gif
5,蜥蝪盾,盾牌,手部防具,鐵條(6)、銀條(5)、純銀條(4)、金條(3)、琵琶木(20),防禦+39~+55 閃躲-5 抗魔+50~+60,菱形金屬疊起來做的盾牌。,1000,/img/防具/蜥蝪盾.gif
6,利刃頭盔,頭盔,頭部防具,金條(5)、白金條(5)、細線(5)、絹布(5),防禦+54~+72 抗魔+18~+30,頭頂有銳利刃部的頭盔。,1500,/img/防具/利刃頭盔.gif
6,巴比克頭盔,頭盔,頭部防具,金條(5)、白金條(8)、細線(5),防禦+50~+66 抗魔+30~+42,邊邊很寬的頭盔。,1400,/img/防具/巴比克頭盔.gif
6,裝飾著花的帽子,帽子,頭部防具,棉(19)、檸檬草(20)、蝴蝶花(20)、果梨(20)、桃木(20),防禦+32~+42 命中+5,有很多花的草帽。,900,/img/防具/裝飾著花的帽子.gif
6,青銅帽子,帽子,頭部防具,銅條(15)、棉(14)、番紅花(20),防禦+35~+46 命中+5,裡面有薄的銅金屬版來加強的帽子。,900,/img/防具/青銅帽子.gif
6,重鐵板甲,鎧甲,身體防具,銀條(5)、純銀條(5)、金條(5)、白金條(10)、琵琶木(20),防禦+95~+126 閃躲-10 抗魔+36~+48,板金疊起來做的盔甲。,1700,/img/防具/鋼鐵鎧甲.gif
6,鐵板半身甲,鎧甲,身體防具,銀條(6)、純銀條(6)、金條(6)、白金條(10)、赤松(20),防禦+103~+137 閃躲-10 抗魔+24~+36,改造鐵板做的上半身保護盔甲。,1700,/img/防具/鐵板半身甲.gif
6,索錐上衣,衣服,身體防具,鐵條(15)、金條(5)、白金條(5)、鹿皮(20)、棉(10),防禦+68~+92 閃躲+5,穿在鍊子服上的衣服。,1700,/img/防具/索錐上衣.gif
6,長索錐衣,衣服,身體防具,鐵條(10)、銀條(7)、白金條(5)、鹿皮(20)、棉(10),防禦+63~+84 閃躲+5,長的鍊子服。,1500,/img/防具/硬皮服.gif
6,戰鬥長袍,長袍,身體防具,白金條(5)、鹿皮(20)、棉(20)、細線(6)、赤松(10),防禦+39~+52 魔力+260~+325,戰鬥用的實用袍。,1700,/img/防具/戰鬥長袍.gif
6,聖者之袍,長袍,身體防具,金條(10)、棉(13)、絹布(5)、赤松(10),防禦+36~+48 魔力+240~+300,隱藏聖者之力的袍。,1500,/img/防具/聖者之袍.gif
6,鋼製長靴,靴子,足部防具,銀條(8)、純銀條(7)、白金條(7),防禦+47~+62 抗魔+6~+18,鋼鐵製長筒靴。,1400,/img/防具/鋼製長靴.gif
6,鋼靴,靴子,足部防具,鐵條(20)、白金條(5),防禦+43~+57 抗魔+18~+30,鋼鐵製靴。,1300,/img/防具/鋼靴.gif
6,戰鬥鞋,鞋子,足部防具,鐵條(20)、白金條(5),防禦+14~+18 敏捷+19~+24,戰鬥用鞋子。,1200,/img/防具/戰鬥鞋.gif
6,騎士鞋,鞋子,足部防具,銀條(10)、純銀條(8)、白金條(5)、鹿皮(20),防禦+15~+20 敏捷+21~+26,騎士專用金屬製鞋子。,1400,/img/防具/騎士鞋.gif
6,獅子盾,盾牌,手部防具,銀條(8)、金條(4)、幻之鋼條(4)、琵琶木(20)、赤松(20),防禦+54~+72 閃躲-5 抗魔+48~+60,有獅子花樣的盾牌。,1300,/img/防具/獅子盾.gif
6,風之盾,盾牌,手部防具,純銀條(6)、金條(6)、白金條(4)、赤松(20),防禦+50~+67 閃躲-5 抗魔+60~+72,有羽毛花樣的盾牌，很輕，很好用。,1200,/img/防具/風之盾.gif
7,水龍之盔,頭盔,頭部防具,生鏽的頭盔(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),防禦+110 耐久200 護衛所需消耗魔力減少50%,寄宿有海神的魔力的頭盔。,無法販售,/img/防具/水龍之盔.gif
7,鋼製頭盔,頭盔,頭部防具,白金條(5)、幻之鋼條(5)、細線(9)、琵琶木(20)、朴(20),防禦+62~+83 抗魔+24~+38,頭頂部與頭部後面受保護的鋼製頭盔。,1550,/img/防具/鋼製頭盔.gif
7,騎士頭盔,頭盔,頭部防具,金條(8)、白金條(4)、幻之鋼條(5)、絹布(4)、鋼騎之礦(1),防禦+60 抗魔+28~+42 護衛所需消耗魔力減少25%,騎士用的頭盔。,1550,/img/防具/騎士頭盔.gif
7,可愛的扁帽子,帽子,頭部防具,桃木(20)、百里香(20)、莎蓮娜線(13)、火的水晶碎片(5),防禦+40~+53 命中+5,法蘭選美會推薦的帽子。,1000,/img/防具/可愛的扁帽子.gif
7,水龍之帽,帽子,頭部防具,破爛的帽子(1)、鋼騎之礦(2)、魔族的水晶(2)、百里香(20),防禦+53 精神+20 命中+5 耐久200,寄宿有海神的魔力的帽子。,無法販售,/img/防具/水龍之帽.gif
7,淑女帽,帽子,頭部防具,細線(10)、絹布(10)、百里香(20)、水的水晶碎片(5),防禦+10 精神+20,抗雨性強。,1000,/img/防具/淑女帽.gif
7,實戰鎧甲,鎧甲,身體防具,鐵條(20)、金條(5)、白金條(5)、幻之鋼條(8)、赤松(20),防禦+110~+147 閃躲-10 抗魔+42~+56,重視實戰的全身盔甲。,1800,/img/防具/實戰鎧甲.gif
7,水龍鎧甲,鎧甲,身體防具,生鏽的鎧(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),防禦+170 抗毒+65 耐久200,寄宿有海神的魔力的鎧甲。,無法販售,/img/防具/水龍鎧甲.gif
7,黃金鎧甲,鎧甲,身體防具,純銀條(10)、金條(10)、白金條(10)、幻之鋼條(10)、蔓陀羅草的皮(1),防禦+20 精神+50 閃躲-5 抗魔+40,為了提高強度，與某素材合成的盔甲。,1800,/img/防具/黃金鎧甲.gif
7,水龍之服,衣服,身體防具,破爛的衣服(1)、鋼騎之礦(2)、魔族的水晶(2)、百里香(20),防禦+30 閃躲+80 耐久200,寄宿有海神的魔力的衣服。,無法販售,/img/防具/水龍之服.gif
7,超級衣服,衣服,身體防具,棉(20)、莎蓮娜線(10)、妖草的血(1),防禦+74~+98 閃躲+5 抗中毒+8 抗石化+8,有不可思議魔力的衣服。,1750,/img/防具/超級衣服.gif
7,骨衣,衣服,身體防具,白金條(5)、棉(5)、絹布(5)、莎蓮娜線(10),防禦+79~+105 閃躲+5,細又柔軟的軟骨編織而成的襯衫。,1750,/img/防具/骨衣.gif
7,冠軍之袍,長袍,身體防具,純銀條(10)、白金條(10)、莎蓮娜線(20)、誓言之證(1),防禦+42~+56 吸血魔法所需消耗魔力減少20%,阿斯提亞僧兵穿的戰鬥袍，魔力不會上昇。,1750,/img/防具/冠軍之袍.gif
7,時之袍,長袍,身體防具,金條(5)、幻之鋼條(5)、棉(5)、莎蓮娜線(10),防禦+45~+60 魔力+300~+375,歷史悠久的袍。,1750,/img/防具/時之袍.gif
7,水龍法袍,長袍,身體防具,破爛的袍(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),防禦+70 魔力+500 睡眠+10、石化+10 中毒+10 超強補血魔法所需消耗魔力減少30% 耐久200,寄宿有海神的魔力的長袍。,無法販售,/img/防具/水龍法袍.gif
7,水晶靴,靴子,足部防具,鐵條(10)、金條(8)、幻之鋼條(5),防禦+54~+72 抗魔+21~+35,以水晶做的靴。,1450,/img/防具/水晶靴.gif
7,水龍之靴,靴子,足部防具,破爛的靴子(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),防禦+100 魔力+150 必殺+5 命中+5 耐久200,寄宿有海神的魔力的靴子。,無法販售,/img/防具/水龍之靴.gif
7,銀靴,靴子,足部防具,金條(5)、白金條(5)、幻之鋼條(7)、鋼騎之礦(1),防禦+50~+67 敏捷+10 抗睡+8 抗魔+12,有銀裝飾的靴。,1450,/img/防具/銀靴.gif
7,妖精鞋,鞋子,足部防具,純銀條(5)、白金條(5)、幻之鋼條(5)、莎蓮娜線(3),防禦+17~+23 敏捷+24~+30,以精靈為主的鞋子。,1450,/img/防具/蜥蝪靴.gif
7,水龍之鞋,鞋子,足部防具,破損的鞋(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),防禦+30 敏捷+30 閃躲+2 命中+2 耐久200,寄宿有海神的魔力的鞋子。,無法販售,/img/防具/水龍之鞋.gif
7,紫水晶鞋,鞋子,足部防具,銀條(5)、金條(5)、幻之鋼條(8)、隕石(1),防禦+44~+54,有紫水晶水晶裝飾的美麗鞋子。,1450,/img/防具/紫水晶鞋.gif
7,水龍之盾,盾牌,手部防具,生鏽的盾(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),攻擊+20 防禦+100 耐久200,寄宿有海神的魔力的盾。,無法販售,/img/防具/水龍之盾.gif
7,防守之盾,盾牌,手部防具,鐵條(5)、銀條(5)、純銀條(5)、白金條(5)、幻之鋼條(5),防禦+58~+77 閃躲-5 抗魔+70~+84,白銀做的盾牌。,1350,/img/防具/防守之盾.gif
7,黃金之盾,盾牌,手部防具,金條(5)、白金條(5)、幻之鋼條(15)、鋼騎之礦(1),防禦+82~+103 命中-10 閃躲-5 抗魔+70,花很多錢做的豪華盾牌，很重。,1350,/img/防具/黃金之盾.gif
