編號,名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,卡片,封印,騎乘,出沒,一級出沒,入手方法,入手類型,image,來源
011,貓熊,野獸系,32,40,18,17,18,7,125,水5火5,攻擊LV1、防禦LV1,7級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得,完成「法蘭樂透彩券」任務隨機取得,捕捉,/img/原生寵物/貓熊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #011
012,大地鼠,野獸系,6,13,20,26,35,10,100,地10,攻擊LV1、單隕LV1,1級普卡,○,○,芙蕾雅島聖拉魯卡域、流星山丘山道、大地鼠農場,"芙蕾雅島聖拉魯卡村外(235,203)、(149,219)、(156,197)；請參考「一級點傳送卷」傳送情報","芙蕾雅島聖拉魯卡域、流星山丘山道、大地鼠農場；芙蕾雅島聖拉魯卡村外(235,203)、(149,219)、(156,197)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/大地鼠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #012
013,惡夢鼠,野獸系,4,8,18,33,37,10,100,水10,攻擊LV1、防禦LV1、單冰LV1,2級銀卡,○,○,魔法大學青龍的洞穴、王族用逃脫暗道,"王族用逃脫暗道東方(33,40)；請參考「一級點傳送卷」傳送情報","魔法大學青龍的洞穴、王族用逃脫暗道；王族用逃脫暗道東方(33,40)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/惡夢鼠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #013
014,火焰鼠,野獸系,7,12,15,34,32,10,100,火10,攻擊LV1、防禦LV1、單火LV1,1級普卡,○,○,索奇亞島奇利域、流星山丘山道、尼維爾海村域、炎之洞窟,"晚上時索奇亞島，奇利村近郊(235,326)；請參考「一級點傳送卷」傳送情報","索奇亞島奇利域、流星山丘山道、尼維爾海村域、炎之洞窟；晚上時索奇亞島，奇利村近郊(235,326)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/火焰鼠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #014
015,寶石鼠,野獸系,7,7,22,27,37,10,100,風10,攻擊LV1、防禦LV1、強風LV1,2級銀卡,○,○,法蘭城鏡中的豪宅,"法蘭城鏡中的豪宅一樓(24,6)；請參考「一級點傳送卷」傳送情報","法蘭城鏡中的豪宅；法蘭城鏡中的豪宅一樓(24,6)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/寶石鼠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #015
016,水藍鼠,野獸系,11,15,28,28,33,10,115,地5水5,攻擊LV1、防禦LV1,6級金卡,○,○,巴別塔盡頭,"完成「法蘭樂透彩券」任務隨機取得、巴別塔盡頭(54,21)(55,19)；請參考「一級點傳送卷」傳送情報","巴別塔盡頭；完成「法蘭樂透彩券」任務隨機取得、巴別塔盡頭(54,21)(55,19)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/水藍鼠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #016
017,鼠王,野獸系,15,7,19,32,42,10,115,火5風5,攻擊LV1、防禦LV1,7級金卡,○,○,,鼠王驚奇蛋一等獎、活動「紅利兌換」,鼠王驚奇蛋一等獎、活動「紅利兌換」,捕捉,/img/原生寵物/鼠王.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #017
018,地獄看門犬,野獸系,26,36,12,23,18,7,115,水6火4,攻擊LV1、防禦LV1、連擊LV1,4級普卡,○,○,奇怪的洞窟、里歐波多洞窟、庫魯克斯島魯米那斯村附近,"將LV20以上的地獄看門犬拿到亞留特村(48,37)換取LV1","奇怪的洞窟、里歐波多洞窟、庫魯克斯島魯米那斯村附近；將LV20以上的地獄看門犬拿到亞留特村(48,37)換取LV1",捕捉,/img/原生寵物/地獄看門犬.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #018
019,巨狼,野獸系,22,37,11,25,20,7,115,地6水4,攻擊LV1、防禦LV1,4級普卡,○,○,索奇亞島加納村後面的岬之洞窟、火炎之谷、司雲崖頂的司雲崖、司雲崖洞窟1000M~100M、司雲崖底,"雪拉威森塔77F(84,28)、(87,24)","索奇亞島加納村後面的岬之洞窟、火炎之谷、司雲崖頂的司雲崖、司雲崖洞窟1000M~100M、司雲崖底；雪拉威森塔77F(84,28)、(87,24)",捕捉,/img/原生寵物/巨狼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #019
020,地獄獵犬,野獸系,24,35,19,22,15,7,115,火6風4,攻擊LV1、防禦LV1,5級銀卡,○,○,詛咒的迷宮地下1~10樓、炎之洞窟、庫魯克斯島,"詛咒的迷宮地下4樓(13,11)；請參考「戰鬥系階級提昇Ⅲ」任務","詛咒的迷宮地下1~10樓、炎之洞窟、庫魯克斯島；詛咒的迷宮地下4樓(13,11)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/地獄獵犬.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #020
021,地獄妖犬,野獸系,23,40,13,21,18,7,115,地4風6,攻擊LV1、防禦LV1、諸刃LV1,5級銀卡,○,○,積雪的山道、傑諾瓦鎮域、阿巴尼斯村附域,"莎蓮娜島，傑諾瓦鎮域(119,320)","積雪的山道、傑諾瓦鎮域、阿巴尼斯村附域；莎蓮娜島，傑諾瓦鎮域(119,320)",捕捉,/img/原生寵物/地獄妖犬.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #021
022,殭屍,不死系,37,32,12,12,12,9,105,地4風6,攻擊LV1、諸刃LV1,2級普卡,○,○,黑暗醫生躲藏的家、曖爐之底地下、奇怪的洞窟、阿魯巴斯洞窟、翠格墓園,奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,黑暗醫生躲藏的家、曖爐之底地下、奇怪的洞窟、阿魯巴斯洞窟、翠格墓園；奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/殭屍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #022
023,喪屍,不死系,34,34,7,15,14,9,104,水6火4,攻擊LV1、防禦LV1,3級銀卡,○,○,阿巴尼斯村域的積雪的山道,"積雪的山道山頂(21,16)；請參考「積雪的山路」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","阿巴尼斯村域的積雪的山道；積雪的山道山頂(21,16)；請參考「積雪的山路」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/喪屍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #023
024,食屍鬼,不死系,32,32,17,7,17,9,105,火6風4,攻擊LV1、防禦LV1、戰慄襲心LV1,2級普卡,○,○,阿魯巴斯洞窟,奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,阿魯巴斯洞窟；奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/食屍鬼.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #024
025,腐屍,不死系,42,37,12,7,7,9,105,地6水4,攻擊LV1、防禦LV1、酒醉攻擊LV1,2級普卡,○,○,黑暗醫生躲藏的家、奇怪的洞窟、阿魯巴斯洞窟,奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,黑暗醫生躲藏的家、奇怪的洞窟、阿魯巴斯洞窟；奇利村域阿魯巴斯洞窟最上層(阿魯巴斯與改牛前的樓梯上去後全區域出現)；請參考「誘拐事件」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/腐屍.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #025
026,木乃伊,不死系,39,32,14,8,17,8,110,火5風5,攻擊LV1、防禦LV1、酒醉攻擊LV1,4級銀卡,○,○,索奇亞大沙漠的沙漠之祠、魔族通道,"沙漠之祠底層天空看守者前面(13,25)；請參考「砂漠之祠」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","索奇亞大沙漠的沙漠之祠、魔族通道；沙漠之祠底層天空看守者前面(13,25)；請參考「砂漠之祠」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/木乃伊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #026
027,骷髏戰士,不死系,12,27,42,12,17,8,110,地3風7,攻擊LV1、防禦LV1,3級普卡,○,○,羅連斯研究塔、青龍洞窟、翠格墓園、火炎弗利德島,完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,羅連斯研究塔、青龍洞窟、翠格墓園、火炎弗利德島；完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/骷髏戰士.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #027
028,血骷髏,不死系,13,24,41,10,22,8,110,火7風3,攻擊LV1、防禦LV1、戰慄襲心LV1,4級銀卡,○,○,莎蓮娜島蒂娜村海賊海灣,"海賊海灣(16,32)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","莎蓮娜島蒂娜村海賊海灣；海賊海灣(16,32)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/血骷髏.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #028
029,地獄骷髏,不死系,14,30,40,11,15,8,110,水7火3,攻擊LV1、防禦LV1、乾坤一擲LV1,3級普卡,○,○,索奇亞島沙塵的洞窟、將軍塚,完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,索奇亞島沙塵的洞窟、將軍塚；完成「弦音語(將軍塚II)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品,捕捉,/img/原生寵物/地獄骷髏.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #029
030,武裝骷髏,不死系,9,26,47,8,20,8,110,地7風3,攻擊LV1、防禦LV1,4級銀卡,○,○,阿斯提亞神殿．齋戒、魔族通道、將軍塚,"齋戒男角色地圖二(63,5)；請參考「開啟者」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","阿斯提亞神殿．齋戒、魔族通道、將軍塚；齋戒男角色地圖二(63,5)；請參考「開啟者」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/武裝骷髏.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #030
031,骷髏海盜,不死系,12,29,45,13,16,8,115,地5水5,攻擊LV1、防禦LV1,4級銀卡,○,○,伊姆爾森林後兩層、森之迷宮、魔族通道、魯多特盆地 中部、將軍塚,"魯多特盆地 南部(182,102)、(184,108)、(248,134)(以二連戰方式登場)、活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","伊姆爾森林後兩層、森之迷宮、魔族通道、魯多特盆地 中部、將軍塚；魯多特盆地 南部(182,102)、(184,108)、(248,134)(以二連戰方式登場)、活動「紅利兌換」、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/骷髏海盜.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #031
032,幽靈,不死系,19,18,31,20,27,7,115,地2水8,攻擊LV1、防禦LV1、崩擊LV1,3級普卡,○,○,法蘭城地下靈堂、曖爐地底下、翠格墓園、詛咒的迷宮地下41~49樓、白之練兵場(藍),"詛咒的迷宮地下41樓(7,6)、(8,5)、(7,8)；請參考「戰鬥系階級提昇Ⅲ」任務、完成「(將軍塚I)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","法蘭城地下靈堂、曖爐地底下、翠格墓園、詛咒的迷宮地下41~49樓、白之練兵場(藍)；詛咒的迷宮地下41樓(7,6)、(8,5)、(7,8)；請參考「戰鬥系階級提昇Ⅲ」任務、完成「(將軍塚I)」任務隨機取得、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/幽靈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #032
033,鬼靈,不死系,9,21,27,25,33,7,115,火8風2,攻擊LV1、防禦LV1,5級銀卡,○,○,南恰拉山第一通道、黑色祈禱、峽之洞窟、白之練兵場(藍),"峽之洞窟最下面(74,4)需要做牛鬼的逆襲任務擊倒羅連斯後；請參考「牛鬼的逆襲」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","南恰拉山第一通道、黑色祈禱、峽之洞窟、白之練兵場(藍)；峽之洞窟最下面(74,4)需要做牛鬼的逆襲任務擊倒羅連斯後；請參考「牛鬼的逆襲」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/鬼靈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #033
034,亡靈,不死系,14,27,30,15,29,7,115,火2風8,攻擊LV1、防禦LV1、強風LV1,5級銀卡,○,○,阿斯提亞神殿．齋戒、白之練兵場(藍),"齋戒女角色地圖二(77,88)；請參考「開啟者」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","阿斯提亞神殿．齋戒、白之練兵場(藍)；齋戒女角色地圖二(77,88)；請參考「開啟者」任務、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/亡靈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #034
035,死靈,不死系,10,28,32,17,28,7,115,地8水2,攻擊LV1、防禦LV1、強石LV1,4級普卡,○,○,夜之蒂娜村、閣樓迷宮、白之練兵場(藍),"夜之蒂娜村(32,27)、(20,64)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品","夜之蒂娜村、閣樓迷宮、白之練兵場(藍)；夜之蒂娜村(32,27)、(20,64)、左鍵雙擊「引魂香」隨機取得；「魔力寶貝點數購」商品",捕捉,/img/原生寵物/死靈.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #035
036,小石像怪,飛行系,16,21,11,31,26,9,105,地5水5,攻擊LV1、防禦LV1,1級普卡,○,○,法蘭城里謝里雅堡地下靈堂、米諾基亞村域,靈堂全域,法蘭城里謝里雅堡地下靈堂、米諾基亞村域；靈堂全域,捕捉,/img/原生寵物/小石像怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #036
037,使魔,飛行系,21,20,15,27,27,9,110,火7風3,攻擊LV1、防禦LV1,2級普卡,○,○,絕望的古井,完成「死者的戒指」任務隨機取得,絕望的古井；完成「死者的戒指」任務隨機取得,捕捉,/img/原生寵物/使魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #037
038,水藍鳥魔,飛行系,22,23,10,25,25,9,105,地3水7,攻擊LV1、防禦LV1、戰慄襲心LV1,3級銀卡,○,○,法蘭城鏡中的豪宅、庫魯克斯島、水曜之域的通道(305.366),"鏡中豪宅2樓(40,25)；請參考「一級點傳送卷」傳送情報","法蘭城鏡中的豪宅、庫魯克斯島、水曜之域的通道(305.366)；鏡中豪宅2樓(40,25)；請參考「一級點傳送卷」傳送情報",捕捉,/img/原生寵物/水藍鳥魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #038
039,小惡魔,飛行系,21,20,9,25,30,9,105,地7風3,攻擊LV1、防禦LV1、遺忘攻擊LV1,2級普卡,○,○,索奇亞島奇利村附近、亞諾曼城周邊,"奇利村附近(280,400)","索奇亞島奇利村附近、亞諾曼城周邊；奇利村附近(280,400)",捕捉,/img/原生寵物/小惡魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #039
040,迷你石像怪,飛行系,23,19,10,24,29,9,105,火3風7,攻擊LV1、魔法防禦LV1,3級銀卡,○,○,詛咒的迷宮地下31~39樓，51~59樓；阿凱魯法村周邊,"詛咒的迷宮地下35樓(18,5)、(18,8)；請參考「戰鬥系階級提昇Ⅲ」任務","詛咒的迷宮地下31~39樓，51~59樓；阿凱魯法村周邊；詛咒的迷宮地下35樓(18,5)、(18,8)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/迷你石像怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #040
041,丘比特,飛行系,12,22,7,37,37,9,115,火5風5,攻擊LV1、防禦LV1,7級金卡,○,○,,完成「法蘭樂透彩券」任務隨機取得,完成「法蘭樂透彩券」任務隨機取得,捕捉,/img/原生寵物/丘比特.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #041
042,石像怪,飛行系,14,30,32,22,22,6,120,地9風1,攻擊LV1、防禦LV1,6級銀卡,○,○,光明與黑暗的祭壇、黑白龍城,,光明與黑暗的祭壇、黑白龍城,捕捉,/img/原生寵物/石像怪.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #042
043,血魔,飛行系,13,31,26,25,25,6,120,水1火9,攻擊LV1、防禦LV1,5級普卡,○,○,光明與黑暗的祭壇、黑白龍城,,光明與黑暗的祭壇、黑白龍城,捕捉,/img/原生寵物/血魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #043
044,墮天使,飛行系,11,28,28,27,26,6,120,地1水9,攻擊LV1、防禦LV1,6級銀卡,○,○,光明與黑暗的祭壇、黑白龍城、冰雪的牢城,完成「弦音語(將軍塚II)」任務隨機取得,光明與黑暗的祭壇、黑白龍城、冰雪的牢城；完成「弦音語(將軍塚II)」任務隨機取得,捕捉,/img/原生寵物/墮天使.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #044
045,惡魔,飛行系,10,27,26,26,31,6,120,火1風9,攻擊LV1、防禦LV1,5級普卡,○,○,光明與黑暗的祭壇、黑白龍城、冰雪的牢城,完成「弦音語(將軍塚II)」任務隨機取得,光明與黑暗的祭壇、黑白龍城、冰雪的牢城；完成「弦音語(將軍塚II)」任務隨機取得,捕捉,/img/原生寵物/惡魔.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #045
046,小蝙蝠,飛行系,11,26,16,31,21,10,105,地6水4,攻擊LV1、防禦LV1,1級普卡,○,○,亞諾曼城周邊,完成「死者的戒指」任務隨機取得,亞諾曼城周邊；完成「死者的戒指」任務隨機取得,捕捉,/img/原生寵物/小蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #046
047,掃把蝙蝠,飛行系,13,28,12,29,18,10,100,水6火4,攻擊LV1、防禦LV1、戰慄襲心LV1,2級銀卡,○,○,莎蓮娜東邊洞窟地下、司雲崖100M~1000M(31.24)、司雲崖頂(6.28),"莎蓮娜東邊洞窟地下第二個二樓(18,24)；請參考「冰雪的牢城」任務","莎蓮娜東邊洞窟地下、司雲崖100M~1000M(31.24)、司雲崖頂(6.28)；莎蓮娜東邊洞窟地下第二個二樓(18,24)；請參考「冰雪的牢城」任務",捕捉,/img/原生寵物/掃把蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #047
048,迷你蝙蝠,飛行系,11,26,20,27,16,10,100,火6風4,攻擊LV1、防禦LV1,1級普卡,○,○,法蘭城周邊、競技場迷宮、炎之洞窟,法蘭城東門外全域,法蘭城周邊、競技場迷宮、炎之洞窟；法蘭城東門外全域,捕捉,/img/原生寵物/迷你蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #048
049,水果蝙蝠,飛行系,17,25,15,26,17,10,100,地4風6,攻擊LV1、防禦LV1,2級銀卡,○,○,霞之洞窟、里歐波多洞窟、詛咒的迷宮、魯米那斯附近、白迷宮,"白迷宮4樓(43,106)；請參考「誓言之花」任務","霞之洞窟、里歐波多洞窟、詛咒的迷宮、魯米那斯附近、白迷宮；白迷宮4樓(43,106)；請參考「誓言之花」任務",捕捉,/img/原生寵物/水果蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #049
050,惡魔蝙蝠,飛行系,13,34,10,29,24,10,110,水8火2,攻擊LV1、防禦LV1,7級金卡,○,○,,完成「黑白龍城」任務隨機取得,完成「黑白龍城」任務隨機取得,捕捉,/img/原生寵物/惡魔蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #050
051,天使蝙蝠,飛行系,9,22,12,37,30,10,110,地2風8,攻擊LV1、防禦LV1,7級金卡,○,○,萬縷相思結晶路藏愛,完成「黑白龍城」任務隨機取得,萬縷相思結晶路藏愛；完成「黑白龍城」任務隨機取得,捕捉,/img/原生寵物/天使蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #051
052,大蝙蝠,飛行系,23,28,23,28,13,7,115,地7水3,攻擊LV1、吸血攻擊LV1,2級普卡,○,○,暗黑醫生躲藏的家、試練的洞窟、競技場迷宮、白之練兵場(黃),試練的洞窟1~3F全區域出現,暗黑醫生躲藏的家、試練的洞窟、競技場迷宮、白之練兵場(黃)；試練的洞窟1~3F全區域出現,捕捉,/img/原生寵物/大蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #052
053,巨蝙蝠,飛行系,27,30,22,24,12,7,115,火3風7,攻擊LV1、防禦LV1、強風LV1,4級普卡,○,○,佈滿青苔的洞窟、青龍的洞窟、庫德洞窟、白之練兵場(黃)、通往湖心的洞窟、水曜之域,"青龍的洞窟4樓(72,66)；請參考「生產系階級提昇Ⅲ」任務","佈滿青苔的洞窟、青龍的洞窟、庫德洞窟、白之練兵場(黃)、通往湖心的洞窟、水曜之域；青龍的洞窟4樓(72,66)；請參考「生產系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/巨蝙蝠.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #053
